Designator,Mid X,Mid Y,Rotation,Layer
C1,94.099999,-79.6,90.0,bottom
C10,86.37,-96.225,90.0,top
C100,80.9,-35.1,180.0,top
C101,104.0,-48.7,315.0,top
C102,80.9,-37.5,180.0,top
C103,100.6,-52.0,315.0,top
C104,92.1,-44.1,270.0,top
C105,105.8,-43.9,0.0,top
C106,89.8,-44.1,270.0,top
C107,94.4,-44.1,270.0,top
C108,101.804354,-49.734314,225.0,bottom
C109,88.2,-44.35,270.0,bottom
C11,46.225,-26.475,270.0,top
C110,96.347349,-56.6,180.0,bottom
C111,80.65,-40.3,0.0,bottom
C112,63.7,-30.635,90.0,bottom
C113,68.4,-30.61,90.0,bottom
C114,66.05,-30.61,90.0,bottom
C115,52.125,-32.375,0.0,bottom
C116,54.35,-33.1,270.0,bottom
C117,60.975,-29.71,0.0,bottom
C118,59.7,-21.5,180.0,top
C119,59.7,-19.175,180.0,top
C12,29.875,-75.835,0.0,top
C120,20.5,-38.5,270.0,top
C121,79.58,-102.475,180.0,top
C13,30.95,-50.1,180.0,top
C14,89.85,-68.25,180.0,bottom
C15,89.75,-75.3,0.0,top
C16,45.705,-101.775,90.0,top
C17,54.825,-20.075,270.0,top
C18,24.3,-67.135,0.0,top
C19,82.575,-53.1625,0.0,bottom
C2,86.475,-83.325,270.0,bottom
C20,28.725,-53.325,180.0,top
C21,90.16762,-73.1,180.0,bottom
C22,78.65,-68.8,0.0,bottom
C23,24.237,-24.78738,90.0,bottom
C24,27.35,-38.525,0.0,bottom
C25,29.6,-39.275,270.0,bottom
C26,36.225,-35.7,0.0,bottom
C27,26.5,-61.6,180.0,top
C28,19.675,-25.875,90.0,bottom
C29,96.124999,-81.264759,90.0,bottom
C3,84.975,-83.3,270.0,bottom
C30,98.424999,-81.264759,90.0,bottom
C31,100.724999,-81.264759,90.0,bottom
C32,38.9,-36.825,90.0,bottom
C33,43.5,-36.825,90.0,bottom
C34,41.2,-36.825,90.0,bottom
C35,17.35,-27.25,90.0,bottom
C36,37.495,-65.53,270.0,bottom
C37,38.995,-65.53,270.0,bottom
C38,34.47,-68.33,180.0,bottom
C39,30.295,-65.53,270.0,bottom
C4,22.775,-15.075,90.0,top
C40,31.795,-65.53,270.0,bottom
C41,36.93,-23.93,0.0,bottom
C42,36.94,-25.39,0.0,bottom
C43,34.3875,-21.0925,270.0,bottom
C44,37.0875,-16.7675,0.0,bottom
C45,37.0875,-18.2675,0.0,bottom
C46,24.2,-60.9,270.0,top
C47,64.125,-100.4,0.0,bottom
C48,30.475,-28.475,180.0,bottom
C49,57.275,-99.45,90.0,bottom
C5,28.4,-13.85,180.0,top
C50,85.025,-62.275,270.0,bottom
C51,79.3375,-63.8625,90.0,bottom
C52,51.225,-58.6,135.0,top
C53,77.8375,-63.8625,90.0,bottom
C54,62.1,-71.048008,225.0,top
C55,60.35,-47.6,45.0,top
C56,67.85,-48.95,315.0,top
C57,74.175,-60.55,315.0,top
C58,74.65,-53.75,90.0,top
C59,72.2,-54.25,135.0,top
C6,70.853858,-48.826777,135.0,top
C60,51.325,-55.5,225.0,top
C61,59.2,-70.825,315.0,top
C62,61.95,-54.1,270.0,bottom
C63,81.6125,-57.3625,180.0,bottom
C64,81.6125,-60.3225,180.0,bottom
C65,81.6125,-58.8625,180.0,bottom
C66,16.5,-51.1,0.0,bottom
C67,16.5,-52.6,0.0,bottom
C68,19.22,-43.955,270.0,bottom
C69,20.73,-43.955,270.0,bottom
C7,86.4,-92.725,90.0,top
C70,103.25,-87.85,90.0,top
C71,104.0,-95.45,0.0,top
C72,21.425,-100.625,270.0,top
C73,27.9,-88.5,270.0,top
C74,15.455,-42.93,180.0,bottom
C75,51.4,-91.825,270.0,bottom
C76,105.5,-82.825,270.0,top
C77,53.725,-91.825,270.0,bottom
C78,56.075,-91.825,270.0,bottom
C79,67.65,-90.5,180.0,bottom
C8,54.47,-96.32,270.0,top
C80,65.375,-89.775,90.0,bottom
C81,58.7,-93.2,180.0,bottom
C82,50.375,-98.919277,90.0,bottom
C83,52.675,-98.9,90.0,bottom
C84,62.388,-24.057621,270.0,bottom
C85,55.538,-22.49,180.0,bottom
C86,19.85,-27.725,90.0,top
C87,93.125,-20.2,180.0,top
C88,91.8,-17.2,180.0,top
C89,94.05,-16.45,90.0,top
C9,72.975,-50.95,315.0,top
C90,86.4,-59.45,90.0,top
C91,102.8,-21.3,180.0,top
C92,102.115,-28.12,270.0,top
C93,90.2,-50.885,0.0,top
C94,90.2,-52.9,0.0,top
C95,92.915,-29.42,90.0,top
C96,99.74,-30.72,0.0,top
C97,96.74,-30.72,0.0,top
C98,106.175,-46.3,180.0,top
C99,96.7,-54.3,0.0,top
D1,89.935,-101.65,270.0,top
D10,26.3375,-72.385,0.0,top
D11,12.0325,-51.87,0.0,top
D12,83.8,-49.5625,90.0,top
D13,79.9,-26.5,0.0,bottom
D14,55.688,-28.19,180.0,bottom
D15,90.2,-70.4,0.0,top
D16,82.425,-55.4625,180.0,bottom
D17,28.395,-66.33,270.0,bottom
D18,34.44,-16.7025,270.0,bottom
D19,13.137,-27.155,90.0,bottom
D2,99.6,-63.5,90.0,top
D20,47.475,-97.7,90.0,bottom
D21,67.675,-23.775,270.0,bottom
D22,108.0875,-73.87,180.0,top
D23,89.46,-13.4125,270.0,top
D24,56.125,-11.5625,270.0,top
D25,108.15,-76.8,180.0,top
D26,81.55,-50.25,180.0,top
D27,22.88,-65.58,0.0,top
D28,21.25,-15.0625,270.0,top
D29,19.15,-32.75,90.0,top
D3,89.537999,-78.82,180.0,bottom
D30,13.6625,-23.45,0.0,top
D31,25.35,-105.12,270.0,top
D32,104.75,-90.8125,90.0,top
D33,104.775,-100.7125,90.0,top
D34,81.975,-100.575,0.0,top
D35,80.825,-97.025,270.0,top
D4,30.925,-34.15,180.0,bottom
D5,64.037,-94.72,0.0,bottom
D6,89.38,-22.475,270.0,top
D7,87.3,-51.5,270.0,top
D8,51.005,-99.775,90.0,top
D9,49.625,-22.0875,270.0,top
F1,105.1,-71.0,180.0,top
F2,94.4,-61.9,270.0,top
F3,13.95,-65.85,180.0,top
J1,20.5135,-90.7,270.0,top
J10,105.3,-62.4,270.0,bottom
J11,90.035,-106.85,180.0,top
J12,97.06,-106.8,180.0,top
J13,58.105,-106.425,180.0,top
J14,51.08,-106.425,180.0,top
J15,42.775,-13.55,0.0,top
J16,49.8,-13.55,0.0,top
J17,13.65,-72.225,90.0,top
J18,13.65,-79.2,90.0,top
J19,13.495,-46.295,90.0,top
J2,15.75,-27.7,90.0,top
J20,12.725,-58.075,90.0,top
J21,81.4,-19.275,0.0,top
J22,108.1,-82.0,0.0,top
J28,78.33,-106.95,0.0,top
J3,68.725,-13.25,0.0,top
J4,13.6,-36.775,90.0,top
J5,60.4,-13.325,180.0,top
J6,30.575,-107.8,180.0,top
J7,30.55,-102.3,180.0,top
J8,39.525,-107.8,180.0,top
J9,39.5,-102.3,180.0,top
L1,82.099999,-76.7,90.0,bottom
L2,63.45,-54.1,270.0,bottom
L3,77.7375,-59.4625,90.0,bottom
L4,23.45,-32.675,90.0,bottom
L5,71.475,-96.9,270.0,bottom
L6,89.5,-56.75,90.0,top
L7,95.7,-39.1,0.0,bottom
L8,48.288,-25.99,90.0,bottom
Q1,98.595,-43.8,180.0,top
Q2,105.205,-39.405,90.0,top
R1,22.9,-100.625,270.0,top
R10,54.505,-91.875,90.0,top
R11,48.0,-102.475,0.0,top
R12,51.005,-102.475,0.0,top
R13,54.005,-102.475,0.0,top
R14,46.23,-30.925,270.0,top
R15,52.525,-19.35,180.0,top
R16,49.525,-19.35,180.0,top
R17,46.525,-19.35,180.0,top
R18,34.225,-75.835,0.0,top
R19,23.575,-69.435,270.0,top
R2,34.5,-93.3,270.0,top
R20,23.575,-72.435,270.0,top
R21,23.575,-75.435,270.0,top
R22,15.02,-51.87,180.0,top
R23,28.725,-54.825,180.0,top
R24,44.175,-42.15,180.0,top
R25,44.2,-40.65,0.0,top
R26,22.775,-18.075,90.0,top
R27,41.2,-39.15,180.0,top
R28,41.2,-37.65,0.0,top
R29,41.2,-42.125,180.0,top
R3,33.0,-92.4,270.0,top
R30,41.2,-40.625,0.0,top
R31,65.875,-19.575,0.0,top
R32,71.475,-19.675,180.0,top
R33,93.174999,-87.317621,0.0,bottom
R34,85.725,-85.55,180.0,bottom
R35,86.525,-62.275,270.0,bottom
R36,85.75,-64.525,180.0,bottom
R37,27.375,-40.025,180.0,bottom
R38,36.3,-42.65,0.0,bottom
R39,86.875,-88.1,90.0,bottom
R4,31.5,-91.3,270.0,top
R40,88.349999,-88.075,270.0,bottom
R41,17.73,-42.23,90.0,bottom
R42,17.73,-39.24,90.0,bottom
R43,15.43,-41.43,180.0,bottom
R44,67.65,-89.0,0.0,bottom
R45,58.675,-86.2,180.0,bottom
R46,90.125,-20.2,0.0,top
R47,90.125,-18.7,0.0,top
R48,93.125,-18.7,0.0,top
R49,91.8,-15.7,0.0,top
R5,89.935,-98.95,180.0,top
R50,96.7,-23.7,270.0,top
R51,102.84,-22.82,0.0,top
R52,89.4,-25.475,90.0,top
R53,90.88,-25.4625,270.0,top
R54,85.675,-62.3,0.0,top
R55,87.2,-63.8,0.0,top
R56,102.84,-24.32,180.0,top
R57,103.615,-28.12,270.0,top
R58,103.25,-90.85,270.0,top
R59,103.95,-93.125,0.0,top
R6,30.0,-89.7,270.0,top
R60,103.275,-97.75,270.0,top
R61,103.275,-100.75,270.0,top
R62,102.815,-25.82,0.0,top
R63,94.4,-29.42,270.0,top
R64,83.8,-46.525,270.0,top
R65,99.6,-33.02,270.0,top
R66,96.7,-33.02,270.0,top
R67,52.125,-33.875,180.0,bottom
R68,61.088,-36.69,0.0,bottom
R69,28.875,-41.5,180.0,bottom
R7,30.8,-86.4,0.0,top
R70,28.875,-43.01,180.0,bottom
R71,66.175,-86.0,0.0,bottom
R72,66.175,-87.5,180.0,bottom
R73,53.6,-35.35,180.0,bottom
R74,56.6,-36.675,180.0,bottom
R75,105.12,-73.87,0.0,top
R76,89.45,-16.425,90.0,top
R77,56.115,-14.55,90.0,top
R78,105.1875,-76.8,0.0,top
R79,78.5375,-50.25,0.0,top
R8,30.8,-84.9,0.0,top
R80,25.885,-65.58,180.0,top
R81,21.22,-18.075,90.0,top
R82,17.6,-32.75,90.0,top
R83,16.6475,-23.45,180.0,top
R84,25.35,-108.1175,90.0,top
R85,104.75,-87.825,270.0,top
R86,104.775,-97.725,270.0,top
R87,82.8,-96.5,90.0,top
R9,28.7,-82.6,90.0,top
RN10,43.325,-65.2,270.0,top
RN11,38.75,-46.2,270.0,top
RN12,24.375,-38.8,270.0,top
RN13,38.525,-26.825,270.0,top
RN14,102.1,-81.825,90.0,top
RN15,38.525,-23.0,270.0,top
RN16,65.3,-25.85,180.0,top
RN17,32.475,-97.1,0.0,top
RN18,38.9,-97.05,0.0,top
RN4,40.65,-90.2,90.0,top
RN5,35.75,-83.7,90.0,top
RN6,71.925,-82.725,0.0,top
RN7,51.205,-86.475,0.0,top
RN8,49.825,-35.8,180.0,top
RN9,38.675,-72.135,270.0,top
SW1,107.775,-90.25,270.0,top
SW2,107.775,-98.35,270.0,top
U1,62.9,-59.448008,135.0,top
U10,34.6575,-65.78,180.0,bottom
U11,36.8875,-21.13,270.0,bottom
U12,89.2625,-61.35,180.0,top
U13,51.0,-94.1,180.0,top
U14,49.73,-28.725,0.0,top
U15,32.0,-72.3,90.0,top
U16,27.15,-58.4625,90.0,top
U17,82.2,-62.8125,0.0,bottom
U18,98.37,-27.46,270.0,top
U19,58.7875,-33.215,0.0,bottom
U2,28.65,-18.975,180.0,top
U3,16.3,-46.85,0.0,bottom
U4,89.87,-94.025,180.0,top
U5,28.75,-46.4,90.0,top
U6,19.825,-58.55,270.0,top
U7,90.924999,-83.887621,0.0,bottom
U8,34.05,-39.2,0.0,bottom
U9,60.9375,-89.695,180.0,bottom
Y1,73.953858,-48.426777,315.0,top
